OBJECTID,GEOID10,Sum_ViolentCrime,Sum_PropertyCrime,Shape__Area,Shape__Length
1486,261635345002000,2,8,1494365.67285156,5578.92829578304
1487,261635344002005,1,0,91849.009765625,2579.96204967001
1488,261635347004011,0,0,330878.250244141,2616.8078113055
1489,261635384002012,1,1,239931.896972656,2114.46689655269
1490,261635363001007,1,3,316928.768066406,2285.76815177877
1491,261635255001014,0,0,226707.278320313,1955.60269783125
1492,261635231001040,0,2,127220.659667969,1703.90708968556
1493,261635231001002,0,1,246652.467529297,2534.41770718341
1494,261635232002002,1,0,188569.540283203,1806.42210958522
1495,261635308003010,0,1,267859.095703125,2426.90745877474
1496,261635231001038,0,0,209670.157226563,1913.20169980351
1497,261635233001007,1,2,180433.652832031,1701.6963037605
1498,261635232002010,0,2,181580.393066406,1779.45224736889
1499,261635240001013,2,3,244910.533691406,2170.80942513154
1500,261635238003005,1,1,233827.518066406,2108.72638695145
1501,261635238002010,0,1,267908.322753906,2151.7735673904
1502,261635238002000,3,14,313034.984619141,2505.24965891547
1503,261635238004010,1,1,220726.387451172,2055.12917477829
1504,261635238003009,0,0,43629.5715332031,1203.90942865096
1505,261635238004020,0,1,33043.7685546875,944.914599794901
1506,261635249001007,0,1,96451.3032226563,1249.39510984565
1507,261635110002039,0,2,291742.877441406,2749.04048098587
1508,261635110003030,0,0,249752.284667969,2248.83238822059
1509,261635047002001,0,1,169779.08203125,1683.30654880103
1510,261635047002004,0,0,292272.094238281,2514.77209479328
1511,261635110002019,0,1,226871.924316406,2271.70208845086
1512,261635051002013,4,9,273902.249023438,2516.04726967499
1513,261635005001011,0,2,247345.284179688,2268.0212423688
1514,261635041001000,4,1,97774.564453125,1315.20445061106
1515,261635011005003,2,6,315691.738769531,2660.23960401807
1516,261635006002006,0,2,238364.186035156,2032.31387805412
1517,261635006001021,1,4,320217.095703125,2511.31294824548
1518,261635006001022,3,4,212015.948242188,1883.39532065671
1519,261635005001001,1,5,184868.511230469,1868.61798642992
1520,261635007004012,3,5,235850.540527344,2102.10662855679
1521,261635010003005,4,5,245927.828125,2161.39527069264
1522,261635010003003,3,6,243665.906738281,2157.76056795662
1523,261635010003010,0,5,237195.89453125,2139.48923001279
1524,261635010003000,1,13,241973.345703125,2153.24164587937
1525,261635001003009,0,1,216883.182617188,1979.43436093653
1526,261635007004000,5,2,180883.749023438,1834.09127263506
1527,261635007004014,3,2,234816.967773438,2102.86424811071
1528,261635007004015,0,5,224249.716308594,2070.1989947015
1529,261635322002006,1,0,170103.424316406,2198.81009257351
1530,261635323001015,1,5,101560.317138672,2143.40869237221
1531,261635331003001,3,4,291337.360107422,2401.55062595783
1532,261635165001044,0,1,63352.5424804688,1224.85487439818
1533,261635165001029,0,1,394977.428222656,2519.87846161959
1534,261635165001006,0,0,485609.224365234,2877.17822495384
1535,261635143001026,0,3,503760.812255859,3661.5035142443
1536,261635143001020,0,0,896476.522460938,3963.85330642855
1537,261635312003031,0,2,243323.909912109,2107.90462920302
1538,261635312003006,0,0,182987.159912109,1807.63404074652
1539,261635312003018,0,1,22447.8598632813,1009.22275818258
